Pos,Tytuł,Rok
46,GREATEST HITS,1992
27,25,2015
41,JAGGED LITTLE PILL,1995
13,BACK TO BLACK,2006
20,SGT PEPPER'S LONELY HEARTS CLUB BAND,2000
16,LEGEND,1984
45,X&Y,2005
28,TALK ON CORNERS,1997
26,WHITE LADDER,1998
32,NO ANGEL,2003
8,BROTHERS IN ARMS,1985
49,X,2014
55,THE MARSHALL MATHERS LP,2000
54,TANGO IN THE NIGHT,1987
53,LADIES & GENTLEMEN - THE BEST OF,1998
17,BACK TO BEDLAM,2004
37,THE WAR OF THE WORLDS,1978
35,HOPES AND FEARS,2004
33,ONLY BY THE NIGHT,2008
30,THE FAME,2008
23,SPIRIT,2007
12,THE IMMACULATE COLLECTION,1990
19,BAT OUT OF HELL,1977
24,CRAZY LOVE,2009
9,THRILLER,1987
42,TUBULAR BELLS,1973
50,COME AWAY WITH ME,2002
5,WHAT'S THE STORY MORNING GLORY,1995
52,THE SOUND OF MUSIC,1965
47,GREASE,1987
51,GRACELAND,1986
39,BUT SERIOUSLY,1989
7,THE DARK SIDE OF THE MOON,1973
10,GREATEST HITS II,1991
60,AUTOMATIC FOR THE PEOPLE,1992
56,SWING WHEN YOU'RE WINNING,2001
38,SCISSOR SISTERS,2004
15,COME ON OVER,1997
21,BRIDGE OVER TROUBLED WATER,1970
14,STARS,1991
58,EYES OPEN,2006
29,SPICE,1996
59,PROGRESS,2010
44,TRACY CHAPMAN,1988
43,THE MAN WHO,1999
36,THE JOSHUA TREE,1987
18,URBAN HYMNS,1997
